Lambda,Ag,section_type=Circular,concrete_type=NWC,concrete_type=LWC,fc,TypeL=GFRP,TypeL=CFRP,Rho,EfrpL,fuL,TypeH=GFRP,TypeH=CFRP,TypeH=Steel,t_conf=spiral,t_conf=ties,tspacing,Pexp
10,40000,0,1,0,25.68,1,0,1.1,44.25,660,1,0,0,1,0,50,951.6
10,40000,0,1,0,25.68,1,0,1.1,44.25,660,1,0,0,1,0,80,937.7
10,40000,0,1,0,25.68,1,0,0.8,46,735,1,0,0,1,0,50,936.8
10,40000,0,1,0,25.68,1,0,1.5,43.75,574,1,0,0,1,0,50,981.7
10,40000,0,1,0,25.68,1,0,1.1,44.25,660,1,0,0,0,1,30,954
10,40000,0,1,0,25.68,1,0,1.1,44.25,660,1,0,0,0,1,50,943.2
10,40000,0,1,0,25.68,1,0,1.1,44.25,660,1,0,0,0,1,80,927.7
35,22500,0,1,0,44.7,0,1,1.4,150,2000,0,1,0,0,1,90,855
35,22500,0,1,0,44.7,0,1,2,145,2000,0,1,0,0,1,90,909
35,22500,0,1,0,44.7,0,1,3.6,151,2000,0,1,0,0,1,90,960
35,22500,0,1,0,44.7,0,1,2,150,2000,0,1,0,0,1,140,899
35,22500,0,1,0,44.7,0,1,2,150,2000,0,1,0,0,1,40,925
26,41548,1,1,0,25.6,1,0,1.63,62.3,1113,1,0,0,1,0,75,1063
26,41548,1,1,0,25.6,1,0,2.17,62.3,1113,1,0,0,1,0,75,1190
26,41548,1,1,0,25.6,1,0,3.87,61.2,1102,1,0,0,1,0,75,1227
26,41548,1,1,0,25.6,1,0,1.63,62.3,1113,1,0,0,1,0,100,1065
26,41548,1,1,0,25.6,1,0,1.63,62.3,1113,1,0,0,1,0,50,1085
26,41548,1,1,0,25.6,1,0,1.63,61.4,1250,1,0,0,1,0,75,1055
21,36305,1,1,0,34,1,0,0.55,59,930,1,0,0,1,0,120,943
21,36305,1,1,0,34,1,0,0.73,59,930,1,0,0,1,0,120,1031
21,36305,1,1,0,34,1,0,0.92,59,930,1,0,0,1,0,120,1286
21,36305,1,1,0,34,1,0,0.73,59,930,1,0,0,1,0,40,1223
21,36305,1,1,0,34,1,0,0.73,59,930,1,0,0,1,0,80,1088
13,73062,1,1,0,46.6,1,0,2.19,61.8,1449,1,0,0,1,0,80,3535
16,73062,1,1,0,46.6,1,0,2.19,61.8,1449,1,0,0,1,0,80,3490
23,73062,1,1,0,46.6,1,0,2.19,61.8,1449,1,0,0,1,0,80,3453
26,73062,1,1,0,46.6,1,0,2.19,61.8,1449,1,0,0,1,0,80,3359
23,73062,1,1,0,46.6,1,0,3.28,61.8,1449,1,0,0,1,0,80,3463
33,73062,1,1,0,46.6,1,0,3.28,61.8,1449,1,0,0,1,0,80,3360
33,73062,1,1,0,46.6,1,0,4.66,61.7,1411,1,0,0,1,0,80,3588
23,73062,1,1,0,46.6,1,0,2.19,61.8,1449,1,0,0,1,0,40,3417
33,73062,1,1,0,46.6,1,0,2.19,61.8,1449,1,0,0,1,0,40,3460
33,73062,1,1,0,46.6,1,0,2.19,61.8,1449,1,0,0,1,0,80,3331
20,98980,1,1,0,37.4,1,0,1.2,64,1558,1,0,0,1,0,85,4224
21,32400,0,1,0,28.4,0,0,3.88,45.9,913,0,0,0,0,1,60,879
21,32400,0,1,0,28.4,0,0,3.88,45.9,913,0,0,0,0,1,120,792
21,32400,0,1,0,28.4,0,0,3.88,45.9,913,0,0,0,0,1,180,875
21,32400,0,1,0,34.4,0,0,3.88,45.9,913,0,0,1,0,1,180,1080
20,73062,1,0,1,52,1,0,2.2,54.9,1289,1,0,0,1,0,80,3530
20,73062,1,0,1,52,1,0,3.3,54.9,1289,1,0,0,1,0,80,3540
20,73062,1,0,1,52,0,0,2.2,64.8,1724,1,0,0,1,0,80,3530
20,73062,1,0,1,52,0,1,1.04,144,1765,1,0,0,1,0,80,3705
20,73062,1,0,1,52,1,0,2.2,54.9,1289,1,0,0,1,0,60,3620
20,73062,1,0,1,52,1,0,1.63,54.9,1289,1,0,0,1,0,80,3340
20,73062,1,0,1,52,1,0,2.2,54.9,1289,1,0,0,0,0,80,3620
20,73062,1,0,1,52,1,0,2.2,54.9,1289,1,0,0,1,0,120,3480
