No.,Spec.,b,h,D,H,LamdaC,Ag,Circular,TypeCon,fcp,TypeL,RhoEf,Bars,EfrpL,ffuL,efuL,TypeH,Bars,Config,SpacPitch,EfrpH,ffuH,efuH,e,EoverD,Pexp
34,G3H400,-,-,305,1500,20,73062,Yes,NWC,42.9,GFRP,2.2,8 No. 5,55.4,934,1.56,GFRP,No. 3,Hoops,80,53.5,889,1.89,0,0,2871
35,G3H600,-,-,305,1500,20,73062,Yes,NWC,42.9,GFRP,2.2,8 No. 5,55.4,934,1.56,GFRP,No. 3,Hoops,80,53.5,889,1.89,0,0,2935
36,C3H200,-,-,305,1500,20,73062,Yes,NWC,42.9,CFRP,1.7,10 No. 4,140,1889,1.32,CFRP,No. 3,Hoops,80,120,1596,1.33,0,0,2869
37,C3H400,-,-,305,1500,20,73062,Yes,NWC,42.9,CFRP,1.7,10 No. 4,140,1889,1.32,CFRP,No. 3,Hoops,80,120,1596,1.33,0,0,2960
38,C3H600,-,-,305,1500,20,73062,Yes,NWC,42.9,CFRP,1.7,10 No. 4,140,1889,1.32,CFRP,No. 3,Hoops,80,120,1596,1.33,0,0,3008
39,GGC-8-H50,-,-,250,1000,16,49087,Yes,GC,38,GFRP,2.43,6 No. 5,62.6,1184,1.89,GFRP,No. 3,Hoops,50,65.1,1372,2.11,0,0,1791
40,GGC-8-H100,-,-,250,1000,16,49087,Yes,GC,38,GFRP,2.43,6 No. 5,62.6,1184,1.89,GFRP,No. 3,Hoops,100,65.1,1372,2.11,0,0,1981
41,GGC-8-H200,-,-,250,1000,16,49087,Yes,GC,38,GFRP,2.43,6 No. 5,62.6,1184,1.89,GFRP,No. 3,Hoops,200,65.1,1372,2.11,0,0,1988
42,GGC-8-S50,-,-,250,1000,16,49087,Yes,GC,38,GFRP,2.43,6 No. 5,62.6,1184,1.89,GFRP,No. 3,Spiral,50,65.1,1372,2.11,0,0,1838
43,GGC-8-S100,-,-,250,1000,16,49087,Yes,GC,38,GFRP,2.43,6 No. 5,62.6,1184,1.89,GFRP,No. 3,Spiral,100,65.1,1372,2.11,0,0,2063
44,GGC-16-H100,-,-,250,2000,32,49087,Yes,GC,38,GFRP,2.43,6 No. 5,62.6,1184,1.89,GFRP,No. 3,Hoops,100,65.1,1372,2.11,0,0,1624
45,GGC-16-S100,-,-,250,2000,32,49087,Yes,GC,38,GFRP,2.43,6 No. 5,62.6,1184,1.89,GFRP,No. 3,Spiral,100,65.1,1372,2.11,0,0,1208
46,IPCC-LE1,120,120,-,900,26,14400,No,GC,34.9,BFRP,1.4,4 No. 2.5,50,1000,,Steel,No. 2,Ties,100,-,,,80,67,90
47,IPCC-SE1,120,120,-,900,26,14400,No,GC,34.9,BFRP,1.4,4 No. 2.5,50,1000,,Steel,No. 2,Ties,100,-,,,20,17,270
48,#3S-SG0,-,-,305,760,10,73062,Yes,NWC,90,GFRP,1.65,6 No. 5,43,715,,GFRP,No. 3,Spiral,76,-,-,-,0,0,7126
49,#6T-SG1,-,-,305,3730,49,73062,Yes,NWC,90,GFRP,1.65,6 No. 5,43,715,,GFRP,No. 3,Spiral,76,-,-,-,25,8,3830
50,#9T-SG4,-,-,305,3730,49,73062,Yes,NWC,90,GFRP,1.65,6 No. 5,43,715,,GFRP,No. 3,Spiral,76,-,-,-,102,33,667
51,RF-0,210,210,-,800,13,44100,No,NWC,33.2,GFRP,1.15,4 No. 4,67.9,1641,2.41,GFRP,No. 3,Ties,50,77.6,1855,2.39,0,0,1285
52,RF-25,210,210,-,800,13,44100,No,NWC,33.2,GFRP,1.15,4 No. 4,67.9,1641,2.41,GFRP,No. 3,Ties,50,77.6,1855,2.39,25,12,803
53,RF-50,210,210,-,800,13,44100,No,NWC,33.2,GFRP,1.15,4 No. 4,67.9,1641,2.41,GFRP,No. 3,Ties,50,77.6,1855,2.39,50,24,615
54,G6-G60-C,-,-,205,800,16,33006,Yes,NWC,37,GFRP,2.3,6 No. 4,50,1200,2.4,GFRP,No. 3,Spiral,60,57,1275,2.24,0,0,1220
55,G6-G60-E25,-,-,205,800,16,33006,Yes,NWC,37,GFRP,2.3,6 No. 4,50,1200,2.4,GFRP,No. 3,Spiral,60,57,1275,2.24,25,12,781
56,G6-G60-E50,-,-,205,800,16,33006,Yes,NWC,37,GFRP,2.3,6 No. 4,50,1200,2.4,GFRP,No. 3,Spiral,60,57,1275,2.24,50,24,494
57,G6-G30-C,-,-,205,800,16,33006,Yes,NWC,37,GFRP,2.3,6 No. 4,50,1200,2.4,GFRP,No. 3,Spiral,30,57,1275,2.24,0,0,1309
58,G6-G30-E25,-,-,205,800,16,33006,Yes,NWC,37,GFRP,2.3,6 No. 4,50,1200,2.4,GFRP,No. 3,Spiral,30,57,1275,2.24,25,12,767
59,G6-G30-E50,-,-,205,800,16,33006,Yes,NWC,37,GFRP,2.3,6 No. 4,50,1200,2.4,GFRP,No. 3,Spiral,30,57,1275,2.24,50,24,479
