No.,Spec.,b,h,D,H,LamdaC,Ag,Circular,TypeCon,fcp,TypeL,RhoEf,Bars,EfrpL,ffuL,efuL,TypeH,Bars,Config,SpacPitch,EfrpH,ffuH,efuH,e,EoverD,Pexp
147,CE-6,300,300,-,3600,42,90000,No,NWC,40.3,GFRP,1.34,6 No.16,39,654,-,Steel,8 mm,Ties,150,200,400,-,60,20,1632
148,CE-7,300,300,-,3600,42,90000,No,NWC,40.3,GFRP,1.34,6 No.16,39,654,-,Steel,8 mm,Ties,150,200,400,-,150,50,500
149,CE-8,300,300,-,3600,42,90000,No,NWC,40.3,GFRP,1.34,6 No.16,39,654,-,Steel,8 mm,Ties,150,200,400,-,300,100,300
150,CE-9,300,300,-,3600,42,90000,No,NWC,40.3,GFRP,0.9,4 No.16,39,654,-,Steel,8 mm,Ties,150,200,400,-,60,20,1564
151,CE-10,300,300,-,3600,42,90000,No,NWC,40.3,GFRP,2.55,8 No.19,44,729,-,Steel,8 mm,Ties,150,200,400,-,60,20,1823
152,CE-11,300,300,-,3600,42,90000,No,NWC,29.1,GFRP,1.34,6 No.16,39,654,-,Steel,8 mm,Ties,150,200,400,-,60,20,1025
153,CE-12,300,300,-,3600,42,90000,No,NWC,55.2,GFRP,1.34,6 No.16,39,654,-,Steel,8 mm,Ties,150,200,400,-,60,20,2191
154,Ge80,400,400,-,2000,17,160000,No,NWC,71.2,GFRP,1,6 No. 6,62.7,1236,2,GFRP,No. 3,Ties,150,63.7,1370,2.2,80,20,5100
155,Ge120,400,400,-,2000,17,160000,No,NWC,71.2,GFRP,1,6 No. 6,62.7,1236,2,GFRP,No. 3,Ties,150,63.7,1370,2.2,120,30,3621
156,Ge160,400,400,-,2000,17,160000,No,NWC,71.2,GFRP,1,6 No. 6,62.7,1236,2,GFRP,No. 3,Ties,150,63.7,1370,2.2,160,40,2457
157,Ge240,400,400,-,2000,17,160000,No,NWC,71.2,GFRP,1,6 No. 6,62.7,1236,2,GFRP,No. 3,Ties,150,63.7,1370,2.2,240,60,1367
158,Be80,400,400,-,2000,17,160000,No,NWC,71.2,BFRP,1,6 No. 6,63.7,1646,2.5,BFRP,No. 4,Ties,150,51.4,1414,2.7,80,20,4965
159,Be120,400,400,-,2000,17,160000,No,NWC,71.2,BFRP,1,6 No. 6,63.7,1646,2.5,BFRP,No. 4,Ties,150,51.4,1414,2.7,120,30,3664
160,Be160,400,400,-,2000,17,160000,No,NWC,71.2,BFRP,1,6 No. 6,63.7,1646,2.5,BFRP,No. 4,Ties,150,51.4,1414,2.7,160,40,2356
161,Be240,400,400,-,2000,17,160000,No,NWC,71.2,BFRP,1,6 No. 6,63.7,1646,2.5,BFRP,No. 4,Ties,150,51.4,1414,2.7,240,60,1309
162,G75-C,160,260,-,1200,16,41600,No,GC,26.8,GFRP,2.22,6 No. 4,59,930,1.7,GFRP,No. 2.5,Ties,75,55,650,1.2,0,0,1357
163,G75-25,160,260,-,1200,16,41600,No,GC,26.8,GFRP,2.22,6 No. 4,59,930,1.7,GFRP,No. 2.5,Ties,75,55,650,1.2,25,16,804
164,G75-50,160,260,-,1200,16,41600,No,GC,26.8,GFRP,2.22,6 No. 4,59,930,1.7,GFRP,No. 2.5,Ties,75,55,650,1.2,50,31,454
165,G75-75,160,260,-,1200,16,41600,No,GC,26.8,GFRP,2.22,6 No. 4,59,930,1.7,GFRP,No. 2.5,Ties,75,55,650,1.2,75,47,244
166,G150-C,160,260,-,1200,16,41600,No,GC,26.8,GFRP,2.22,6 No. 4,59,930,1.7,GFRP,No. 2.5,Ties,150,55,650,1.2,0,0,1194
167,G150-25,160,260,-,1200,16,41600,No,GC,26.8,GFRP,2.22,6 No. 4,59,930,1.7,GFRP,No. 2.5,Ties,150,55,650,1.2,25,16,657
168,G150-50,160,260,-,1200,16,41600,No,GC,26.8,GFRP,2.22,6 No. 4,59,930,1.7,GFRP,No. 2.5,Ties,150,55,650,1.2,50,31,353
169,G150-75,160,260,-,1200,16,41600,No,GC,26.8,GFRP,2.22,6 No. 4,59,930,1.7,GFRP,No. 2.5,Ties,150,55,650,1.2,75,47,234
170,G250-C,160,260,-,1200,16,41600,No,GC,26.8,GFRP,2.22,6 No. 4,59,930,1.7,GFRP,No. 2.5,Ties,250,55,650,1.2,0,0,1041
171,G12-S30,200,200,-,600,10,40000,No,NWC,25.68,GFRP,1.1,4-12 mm,44.25,660,1.52,GFRP,8 mm,Spiral,30,48.9,828,1.71,0,0,970.9
172,G12-S50,200,200,-,600,10,40000,No,NWC,25.68,GFRP,1.1,4-12 mm,44.25,660,1.52,GFRP,8 mm,Spiral,50,48.9,828,1.71,0,0,951.6
173,G12-S80,200,200,-,600,10,40000,No,NWC,25.68,GFRP,1.1,4-12 mm,44.25,660,1.52,GFRP,8 mm,Spiral,80,48.9,828,1.71,0,0,937.7
174,G10-S50,200,200,-,600,10,40000,No,NWC,25.68,GFRP,0.8,4-10 mm,46,735,1.6,GFRP,8 mm,Spiral,50,48.9,828,1.71,0,0,936.8
175,G14-S50,200,200,-,600,10,40000,No,NWC,25.68,GFRP,1.5,4-14 mm,43.75,574,1.32,GFRP,8 mm,Spiral,50,48.9,828,1.71,0,0,981.7
176,G12-H30,200,200,-,600,10,40000,No,NWC,25.68,GFRP,1.1,4-12 mm,44.25,660,1.52,GFRP,8 mm,Ties,30,48.9,828,1.71,0,0,954
177,G12-H50,200,200,-,600,10,40000,No,NWC,25.68,GFRP,1.1,4-12 mm,44.25,660,1.52,GFRP,8 mm,Ties,50,48.9,828,1.71,0,0,943.2
178,G12-H80,200,200,-,600,10,40000,No,NWC,25.68,GFRP,1.1,4-12 mm,44.25,660,1.52,GFRP,8 mm,Ties,80,48.9,828,1.71,0,0,927.7
179,C10-T90-E0.0,150,150,-,1500,35,22500,No,NWC,44.7,CFRP,1.4,4-10 mm,150,2000,1.33,CFRP,6 mm,Ties,90,148,2000,1.35,0,0,855
180,C10-T90-E0.5,150,150,-,1500,35,22500,No,NWC,44.7,CFRP,1.4,4-10 mm,150,2000,1.33,CFRP,6 mm,Ties,90,148,2000,1.35,75,50,258
181,C10-T90-E1.0,150,150,-,1500,35,22500,No,NWC,44.7,CFRP,1.4,4-10 mm,150,2000,1.33,CFRP,6 mm,Ties,90,148,2000,1.35,150,100,119
182,C12-T90-E0.0,150,150,-,1500,35,22500,No,NWC,44.7,CFRP,2,4-12 mm,145,2000,1.38,CFRP,6 mm,Ties,90,148,2000,1.35,0,0,909
183,C12-T90-E0.5,150,150,-,1500,35,22500,No,NWC,44.7,CFRP,2,4-12 mm,145,2000,1.38,CFRP,6 mm,Ties,90,148,2000,1.35,75,50,262
184,C12-T90-E1.0,150,150,-,1500,35,22500,No,NWC,44.7,CFRP,2,4-12 mm,145,2000,1.38,CFRP,6 mm,Ties,90,148,2000,1.35,150,100,126
185,C16-T90-E0.0,150,150,-,1500,35,22500,No,NWC,44.7,CFRP,3.6,4-16 mm,151,2000,1.32,CFRP,6 mm,Ties,90,148,2000,1.35,0,0,960
186,C16-T90-E0.5,150,150,-,1500,35,22500,No,NWC,44.7,CFRP,3.6,4-16 mm,151,2000,1.32,CFRP,6 mm,Ties,90,148,2000,1.35,75,50,290
187,C16-T90-E1.0,150,150,-,1500,35,22500,No,NWC,44.7,CFRP,3.6,4-16 mm,151,2000,1.32,CFRP,6 mm,Ties,90,148,2000,1.35,150,100,137
188,C12-T140-E0.0,150,150,-,1500,35,22500,No,NWC,44.7,CFRP,2,4-12 mm,150,2000,1.33,CFRP,6 mm,Ties,140,148,2000,1.35,0,0,899
189,C12-T140-E0.5,150,150,-,1500,35,22500,No,NWC,44.7,CFRP,2,4-12 mm,150,2000,1.33,CFRP,6 mm,Ties,140,148,2000,1.35,75,50,264
190,C12-T140-E1.0,150,150,-,1500,35,22500,No,NWC,44.7,CFRP,2,4-12 mm,150,2000,1.33,CFRP,6 mm,Ties,140,148,2000,1.35,150,100,129
191,C12-T40-E0.0,150,150,-,1500,35,22500,No,NWC,44.7,CFRP,2,4-12 mm,150,2000,1.33,CFRP,6 mm,Ties,40,148,2000,1.35,0,0,925
192,C12-T40-E0.5,150,150,-,1500,35,22500,No,NWC,44.7,CFRP,2,4-12 mm,150,2000,1.33,CFRP,6 mm,Ties,40,148,2000,1.35,75,50,237.7
193,C12-T40-E1.0,150,150,-,1500,35,22500,No,NWC,44.7,CFRP,2,4-12 mm,150,2000,1.33,CFRP,6 mm,Ties,40,148,2000,1.35,150,100,113
194,G1 (6G12-G75) ,-,-,230,1500,26,41548,Yes,NWC,25.6,GFRP,1.63,6-12 mm,62.3,1113,1.8,GFRP,10 mm,Spiral,75,60.9,1278,2.1,0,0,1063
195,G2 (8G12-G75),-,-,230,1500,26,41548,Yes,NWC,25.6,GFRP,2.17,8-12 mm,62.3,1113,1.8,GFRP,10 mm,Spiral,75,60.9,1278,2.1,0,0,1190
196,G3 (8G16-G75),-,-,230,1500,26,41548,Yes,NWC,25.6,GFRP,3.87,8-16 mm,61.2,1102,1.8,GFRP,10 mm,Spiral,75,60.9,1278,2.1,0,0,1227
197,G4 (6G12-G100),-,-,230,1500,26,41548,Yes,NWC,25.6,GFRP,1.63,6-12 mm,62.3,1113,1.8,GFRP,10 mm,Spiral,100,60.9,1278,2.1,0,0,1065
198,G5 (6G12-G50),-,-,230,1500,26,41548,Yes,NWC,25.6,GFRP,1.63,6-12 mm,62.3,1113,1.8,GFRP,10 mm,Spiral,50,60.9,1278,2.1,0,0,1085
199,G6 (6G12-G75),-,-,230,1500,26,41548,Yes,NWC,25.6,GFRP,1.63,6-12 mm,61.4,1250,2,GFRP,10 mm,Spiral,75,60.9,1278,2.1,0,0,1055
200,G3-120-C,-,-,215,1150,21,36305,Yes,NWC,34,GFRP,0.55,3-10 mm,59,930,1.6,GFRP,8 mm,Spiral,120,55,650,1.2,0,0,943
201,G4-120-C,-,-,215,1150,21,36305,Yes,NWC,34,GFRP,0.73,4-10 mm,59,930,1.6,GFRP,8 mm,Spiral,120,55,650,1.2,0,0,1031
202,G5-120-C,-,-,215,1150,21,36305,Yes,NWC,34,GFRP,0.92,5-10 mm,59,930,1.6,GFRP,8 mm,Spiral,120,55,650,1.2,0,0,1286
203,G4-40-C,-,-,215,1150,21,36305,Yes,NWC,34,GFRP,0.73,4-10 mm,59,930,1.6,GFRP,8 mm,Spiral,40,55,650,1.2,0,0,1223
204,G4-40-25,-,-,215,1150,21,36305,Yes,NWC,34,GFRP,0.73,4-10 mm,59,930,1.6,GFRP,8 mm,Spiral,40,55,650,1.2,25,12,846
205,G4-40-50,-,-,215,1150,21,36305,Yes,NWC,34,GFRP,0.73,4-10 mm,59,930,1.6,GFRP,8 mm,Spiral,40,55,650,1.2,50,23,583
206,G4-40-75,-,-,215,1150,21,36305,Yes,NWC,34,GFRP,0.73,4-10 mm,59,930,1.6,GFRP,8 mm,Spiral,40,55,650,1.2,75,35,350
207,G4-80-C,-,-,215,1150,21,36305,Yes,NWC,34,GFRP,0.73,4-10 mm,59,930,1.6,GFRP,8 mm,Spiral,80,55,650,1.2,0,0,1088
208,G4-80-25,-,-,215,1150,21,36305,Yes,NWC,34,GFRP,0.73,4-10 mm,59,930,1.6,GFRP,8 mm,Spiral,80,55,650,1.2,25,12,733
209,G4-80-50,-,-,215,1150,21,36305,Yes,NWC,34,GFRP,0.73,4-10 mm,59,930,1.6,GFRP,8 mm,Spiral,80,55,650,1.2,50,23,538
210,G4-80-75,-,-,215,1150,21,36305,Yes,NWC,34,GFRP,0.73,4-10 mm,59,930,1.6,GFRP,8 mm,Spiral,80,55,650,1.2,75,35,342
211,G1-14,-,-,305,1000,13,73062,Yes,NWC,46.6,GFRP,2.19,8 No. 5,61.8,1449,2.35,GFRP,No. 3,Spiral,80,51.1,1281,2.51,0,0,3535
212,G2-17,-,-,305,1250,16,73062,Yes,NWC,46.6,GFRP,2.19,8 No. 5,61.8,1449,2.35,GFRP,No. 3,Spiral,80,51.1,1281,2.51,0,0,3490
213,G3-23,-,-,305,1750,23,73062,Yes,NWC,46.6,GFRP,2.19,8 No. 5,61.8,1449,2.35,GFRP,No. 3,Spiral,80,51.1,1281,2.51,0,0,3453
214,G4-26,-,-,305,2000,26,73062,Yes,NWC,46.6,GFRP,2.19,8 No. 5,61.8,1449,2.35,GFRP,No. 3,Spiral,80,51.1,1281,2.51,0,0,3359
215,G6-23,-,-,305,1750,23,73062,Yes,NWC,46.6,GFRP,3.28,12 No. 5,61.8,1449,2.35,GFRP,No. 3,Spiral,80,51.1,1281,2.51,0,0,3463
216,G7-33,-,-,305,2500,33,73062,Yes,NWC,46.6,GFRP,3.28,12 No. 5,61.8,1449,2.35,GFRP,No. 3,Spiral,80,51.1,1281,2.51,0,0,3360
217,G8-33,-,-,305,2500,33,73062,Yes,NWC,46.6,GFRP,4.66,12 No. 6,61.7,1411,2.29,GFRP,No. 3,Spiral,80,51.1,1281,2.51,0,0,3588
218,G9-23,-,-,305,1750,23,73062,Yes,NWC,46.6,GFRP,2.19,8 No. 5,61.8,1449,2.35,GFRP,No. 3,Spiral,40,51.1,1281,2.51,0,0,3417
219,G10-33,-,-,305,2500,33,73062,Yes,NWC,46.6,GFRP,2.19,8 No. 5,61.8,1449,2.35,GFRP,No. 3,Spiral,40,51.1,1281,2.51,0,0,3460
220,G-33-C,-,-,305,2500,33,73062,Yes,NWC,46.6,GFRP,2.19,8 No. 5,61.8,1449,2.35,GFRP,No. 3,Spiral,80,51.1,1281,2.51,0,0,3331
221,G-23-16,-,-,305,1750,23,73062,Yes,NWC,46.6,GFRP,2.19,8 No. 5,61.8,1449,2.35,GFRP,No. 3,Spiral,80,51.1,1281,2.51,50,16,1807
222,G-33-16,-,-,305,2500,33,73062,Yes,NWC,46.6,GFRP,2.19,8 No. 5,61.8,1449,2.35,GFRP,No. 3,Spiral,80,51.1,1281,2.51,50,16,1725
223,G-23-33,-,-,305,1750,23,73062,Yes,NWC,46.6,GFRP,2.19,8 No. 5,61.8,1449,2.35,GFRP,No. 3,Spiral,80,51.1,1281,2.51,100,33,891
224,G-33-33,-,-,305,2500,33,73062,Yes,NWC,46.6,GFRP,2.19,8 No. 5,61.8,1449,2.35,GFRP,No. 3,Spiral,80,51.1,1281,2.51,100,33,786
225,G-14-66,-,-,305,1000,13,73062,Yes,NWC,46.6,GFRP,2.19,8 No. 5,61.8,1449,2.35,GFRP,No. 3,Spiral,80,51.1,1281,2.51,200,66,417
226,G-23-66,-,-,305,1750,23,73062,Yes,NWC,46.6,GFRP,2.19,8 No. 5,61.8,1449,2.35,GFRP,No. 3,Spiral,80,51.1,1281,2.51,200,66,388
227,G-26-66,-,-,305,2000,26,73062,Yes,NWC,46.6,GFRP,2.19,8 No. 5,61.8,1449,2.35,GFRP,No. 3,Spiral,80,51.1,1281,2.51,200,66,381
228,G-33-66,-,-,305,2500,33,73062,Yes,NWC,46.6,GFRP,2.19,8 No. 5,61.8,1449,2.35,GFRP,No. 3,Spiral,80,51.1,1281,2.51,200,66,371
229,GB-23-16,-,-,305,1750,23,73062,Yes,NWC,46,GFRP,3.28,12 No. 5,61.8,1449,2.35,GFRP,No. 3,Spiral,80,51.1,1281,2.51,50,16,1881
230,GB-23-33,-,-,305,1750,23,73062,Yes,NWC,46,GFRP,3.28,12 No. 5,61.8,1449,2.35,GFRP,No. 3,Spiral,80,51.1,1281,2.51,100,33,1029
231,GB-23-66,-,-,305,1750,23,73062,Yes,NWC,46,GFRP,3.28,12 No. 5,61.8,1449,2.35,GFRP,No. 3,Spiral,80,51.1,1281,2.51,200,66,448
232,GB-33-16,-,-,305,2500,33,73062,Yes,NWC,46,GFRP,3.28,12 No. 5,61.8,1449,2.35,GFRP,No. 3,Spiral,80,51.1,1281,2.51,50,16,1785
233,GB-33-33,-,-,305,2500,33,73062,Yes,NWC,46,GFRP,3.28,12 No. 5,61.8,1449,2.35,GFRP,No. 3,Spiral,80,51.1,1281,2.51,100,33,898
234,GB-33-66,-,-,305,2500,33,73062,Yes,NWC,46,GFRP,3.28,12 No. 5,61.8,1449,2.35,GFRP,No. 3,Spiral,80,51.1,1281,2.51,200,66,435
235,GC-33-66,-,-,305,2500,33,73062,Yes,NWC,46,GFRP,4.66,12 No. 6,61.7,1411,2.29,GFRP,No. 3,Spiral,80,51.1,1281,2.51,200,66,489
236,GD-23-66,-,-,305,1750,23,73062,Yes,NWC,46,GFRP,2.19,8 No. 5,61.8,1449,2.35,GFRP,No. 3,Spiral,40,51.1,1281,2.51,200,66,420
237,GD-33-66,-,-,305,2500,33,73062,Yes,NWC,46,GFRP,2.19,8 No. 5,61.8,1449,2.35,GFRP,No. 3,Spiral,40,51.1,1281,2.51,200,66,374
238,G17-e23-r4-N2,205,306,-,1020,17,62730,No,NWC,56.8,GFRP,4.8,10 No. 6,43.4,963,2.22,GFRP,No. 3,Ties,300,46,827,1.79,47.15,23,1480
239,G22-e21-r4-N2,205,306,-,1320,22,62730,No,NWC,56.8,GFRP,4.8,10 No. 6,43.4,963,2.22,GFRP,No. 3,Ties,300,46,827,1.79,43.05,21,1410
240,G40-e23-r2-N1,205,306,-,2440,41,62730,No,NWC,56.8,GFRP,2.87,6 No. 6,43.4,963,2.22,GFRP,No. 3,Ties,300,46,827,1.79,47.15,23,1210
241,G40-e21-r4-N4,205,306,-,2440,41,62730,No,NWC,56.8,GFRP,4.8,10 No. 6,43.4,963,2.22,GFRP,No. 3,Ties,300,46,827,1.79,43.05,21,1315
242,G60-e23-r4-N1,205,306,-,3660,62,62730,No,NWC,56.8,GFRP,4.8,10 No. 6,43.4,963,2.22,GFRP,No. 3,Ties,300,46,827,1.79,47.15,23,844
243,G85-C00,-,-,355,1750,20,98980,Yes,NWC,37.4,GFRP,1.2,6 No. 16,64,1558,2.4,GFRP,No. 10,Spiral,85,58,667,1.14,0,0,4224
244,G85-E30,-,-,355,1750,20,98980,Yes,NWC,39.4,GFRP,1.2,6 No. 16,64,1558,2.4,GFRP,No. 10,Spiral,85,58,667,1.14,30,8,3029
245,G50-E30,-,-,355,1750,20,98980,Yes,NWC,40.7,GFRP,1.2,6 No. 16,64,1558,2.4,GFRP,No. 10,Spiral,50,58,667,1.14,30,8,3431
246,G85-E60,-,-,355,1750,20,98980,Yes,NWC,38,GFRP,1.2,6 No. 16,64,1558,2.4,GFRP,No. 10,Spiral,85,58,667,1.14,60,17,2599
247,G85-E120,-,-,355,1750,20,98980,Yes,NWC,37.3,GFRP,1.2,6 No. 16,64,1558,2.4,GFRP,No. 10,Spiral,85,58,667,1.14,120,34,1278
248,BB-60-0,180,180,-,1100,21,32400,No,NWC,28.4,BFRP,3.88,4-20 mm,45.9,913,2.02,BFRP,10 mm,Ties,60,-,-,-,0,0,879
249,BB-60-40,180,180,-,1100,21,32400,No,NWC,28.4,BFRP,3.88,4-20 mm,45.9,913,2.02,BFRP,10 mm,Ties,60,-,-,-,40,22,518
250,BB-60-80,180,180,-,1100,21,32400,No,NWC,28.4,BFRP,3.88,4-20 mm,45.9,913,2.02,BFRP,10 mm,Ties,60,-,-,-,80,44,315
251,BB-120-0,180,180,-,1100,21,32400,No,NWC,28.4,BFRP,3.88,4-20 mm,45.9,913,2.02,BFRP,10 mm,Ties,120,-,-,-,0,0,792
252,BB-120-40,180,180,-,1100,21,32400,No,NWC,28.4,BFRP,3.88,4-20 mm,45.9,913,2.02,BFRP,10 mm,Ties,120,-,-,-,40,22,520
253,BB-120-80,180,180,-,1100,21,32400,No,NWC,28.4,BFRP,3.88,4-20 mm,45.9,913,2.02,BFRP,10 mm,Ties,120,-,-,-,80,44,324
254,BB-180-0,180,180,-,1100,21,32400,No,NWC,28.4,BFRP,3.88,4-20 mm,45.9,913,2.02,BFRP,10 mm,Ties,180,-,-,-,0,0,875
255,BB-180-40,180,180,-,1100,21,32400,No,NWC,28.4,BFRP,3.88,4-20 mm,45.9,913,2.02,BFRP,10 mm,Ties,180,-,-,-,40,22,568
256,BB-180-80,180,180,-,1100,21,32400,No,NWC,28.4,BFRP,3.88,4-20 mm,45.9,913,2.02,BFRP,10 mm,Ties,180,-,-,-,80,44,334
257,BS-180-0,180,180,-,1100,21,32400,No,NWC,34.4,BFRP,3.88,4-20 mm,45.9,913,2.02,Steel,10 mm,Ties,180,-,-,-,0,0,1080
258,BS-180-40,180,180,-,1100,21,32400,No,NWC,34.4,BFRP,3.88,4-20 mm,45.9,913,2.02,Steel,10 mm,Ties,180,-,-,-,40,22,720
259,BS-180-80,180,180,-,1100,21,32400,No,NWC,34.4,BFRP,3.88,4-20 mm,45.9,913,2.02,Steel,10 mm,Ties,180,-,-,-,80,44,412
260,G-8-0,-,-,305,1500,20,73062,Yes,LWC,52,GFRP,2.2,8 No. 5,54.9,1289,2.4,GFRP,No. 3,Spiral,80,52.5,1328,2.3,0,0,3530
261,G-8-25,-,-,305,1500,20,73062,Yes,LWC,52,GFRP,2.2,8 No. 5,54.9,1289,2.4,GFRP,No. 3,Spiral,80,52.5,1328,2.3,25,8,2420
262,G-8-50,-,-,305,1500,20,73062,Yes,LWC,52,GFRP,2.2,8 No. 5,54.9,1289,2.4,GFRP,No. 3,Spiral,80,52.5,1328,2.3,50,16,1905
263,G-8-100,-,-,305,1500,20,73062,Yes,LWC,52,GFRP,2.2,8 No. 5,54.9,1289,2.4,GFRP,No. 3,Spiral,80,52.5,1328,2.3,100,33,950
264,G-8-200,-,-,305,1500,20,73062,Yes,LWC,52,GFRP,2.2,8 No. 5,54.9,1289,2.4,GFRP,No. 3,Spiral,80,52.5,1328,2.3,200,66,440
265,G-12-0,-,-,305,1500,20,73062,Yes,LWC,52,GFRP,3.3,12 No. 5,54.9,1289,2.4,GFRP,No. 3,Spiral,80,52.5,1328,2.3,0,0,3540
266,G-12-25,-,-,305,1500,20,73062,Yes,LWC,52,GFRP,3.3,12 No. 5,54.9,1289,2.4,GFRP,No. 3,Spiral,80,52.5,1328,2.3,25,8,2590
267,G-12-50,-,-,305,1500,20,73062,Yes,LWC,52,GFRP,3.3,12 No. 5,54.9,1289,2.4,GFRP,No. 3,Spiral,80,52.5,1328,2.3,50,16,1775
268,G-12-100,-,-,305,1500,20,73062,Yes,LWC,52,GFRP,3.3,12 No. 5,54.9,1289,2.4,GFRP,No. 3,Spiral,80,52.5,1328,2.3,100,33,1030
269,G-12-200,-,-,305,1500,20,73062,Yes,LWC,52,GFRP,3.3,12 No. 5,54.9,1289,2.4,GFRP,No. 3,Spiral,80,52.5,1328,2.3,200,66,490
270,B-8-0,-,-,305,1500,20,73062,Yes,LWC,52,BFRP,2.2,8 No. 5,64.8,1724,2.67,GFRP,No. 3,Spiral,80,52.5,1328,2.3,0,0,3530
271,B-8-25,-,-,305,1500,20,73062,Yes,LWC,52,BFRP,2.2,8 No. 5,64.8,1724,2.67,GFRP,No. 3,Spiral,80,52.5,1328,2.3,25,8,2615
272,B-8-50,-,-,305,1500,20,73062,Yes,LWC,52,BFRP,2.2,8 No. 5,64.8,1724,2.67,GFRP,No. 3,Spiral,80,52.5,1328,2.3,50,16,1975
273,B-8-100,-,-,305,1500,20,73062,Yes,LWC,52,BFRP,2.2,8 No. 5,64.8,1724,2.67,GFRP,No. 3,Spiral,80,52.5,1328,2.3,100,33,1015
274,B-8-200,-,-,305,1500,20,73062,Yes,LWC,52,BFRP,2.2,8 No. 5,64.8,1724,2.67,GFRP,No. 3,Spiral,80,52.5,1328,2.3,200,66,455
275,C-6-0,-,-,305,1500,20,73062,Yes,LWC,52,CFRP,1.04,6 No. 4,144,1765,1.32,GFRP,No. 3,Spiral,80,52.5,1328,2.3,0,0,3705
276,C-6-25,-,-,305,1500,20,73062,Yes,LWC,52,CFRP,1.04,6 No. 4,144,1765,1.32,GFRP,No. 3,Spiral,80,52.5,1328,2.3,25,8,2570
277,C-6-50,-,-,305,1500,20,73062,Yes,LWC,52,CFRP,1.04,6 No. 4,144,1765,1.32,GFRP,No. 3,Spiral,80,52.5,1328,2.3,50,16,1975
278,C-6-100,-,-,305,1500,20,73062,Yes,LWC,52,CFRP,1.04,6 No. 4,144,1765,1.32,GFRP,No. 3,Spiral,80,52.5,1328,2.3,100,33,965
279,C-6-200,-,-,305,1500,20,73062,Yes,LWC,52,CFRP,1.04,6 No. 4,144,1765,1.32,GFRP,No. 3,Spiral,80,52.5,1328,2.3,200,66,445
280,G-8-60S,-,-,305,1500,20,73062,Yes,LWC,52,GFRP,2.2,8 No. 5,54.9,1289,2.4,GFRP,No. 3,Spiral,60,52.5,1328,2.3,0,0,3620
281,G-6-80S,-,-,305,1500,20,73062,Yes,LWC,52,GFRP,1.63,6 No. 5,54.9,1289,2.4,GFRP,No. 3,Spiral,80,52.5,1328,2.3,0,0,3340
282,G-8-80C2,-,-,305,1500,20,73062,Yes,LWC,52,GFRP,2.2,8 No. 5,54.9,1289,2.4,GFRP,No. 3,Hoops,80,52.5,1328,2.3,0,0,3620
283,G-8-120S,-,-,305,1500,20,73062,Yes,LWC,52,GFRP,2.2,8 No. 5,54.9,1289,2.4,GFRP,No. 3,Spiral,120,52.5,1328,2.3,0,0,3480
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
